Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
DMT,06-01-2024 10:07,dmt_1_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,191,162,74
DMT,06-01-2024 10:24,dmt_2_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,51,48,25
DMT,06-01-2024 10:26,dmt_3_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,62,54,17
FinoPay OTT,06-01-2024 10:51,finopay_ott_play_codes,FinoPay Inactive Customers,"Hi {{1}},

Congratulations on opening an account with Fino. Claim your OTTPlay voucher through this code ( {{2}} ).
Kindly click on *https://bit.ly/3uRcan7* to redeem.
Valid till 6th Feb’24.

-Fino Payments Bank",,3984,3984,2715,2372,577
DMT,08-01-2024 12:25,dmt_1,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,190,159,74
DMT,08-01-2024 12:27,dmt_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,50,47,25
DMT,08-01-2024 12:30,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,62,54,17
DMT,09-01-2024 11:13,dmt_1_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,192,159,74
DMT,09-01-2024 11:15,dmt_2_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,51,47,25
DMT,09-01-2024 11:17,dmt_3_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,62,52,17
